pl_name,pl_eqt,pl_insol,st_teff,st_rad,habitable
Kepler-1029 b,801.0,97.62,5585.0,0.972,0
Kepler-103 b,808.0,100.72,4991.0,0.804,0
Kepler-103 c,1143.0,403.53,5505.0,0.873,0
Kepler-1030 b,1298.0,229.4,6040.0,1.686,0
Kepler-1031 b,399.0,5.98,3872.0,0.557,0
Kepler-1032 b,1709.0,341.52855200000005,6028.0,1.454,0
Kepler-1033 b,751.0,74.148,5329.0,0.775,0
Kepler-1034 b,469.0,11.281,5329.0,0.775,0
Kepler-1035 b,752.0,75.83,5455.0,0.852,0
Kepler-1036 b,728.0,66.27,5468.0,1.306,0
Kepler-1037 b,725.0,65.27,5973.0,1.305,0
Kepler-1038 b,731.0,67.62,4858.0,0.707,0
Kepler-1038 c,949.0,192.09,5840.0,0.849,0
Kepler-1039 b,853.0,114.3,5825.0,1.291,0
Kepler-104 b,674.0,48.82,4391.0,0.682,0
Kepler-104 c,1099.0,345.07,4904.0,0.772,0
Kepler-104 d,806.0,99.6,5749.0,0.864,0
Kepler-1040 b,811.0,102.25,5071.0,0.811,0
Kepler-1041 b,536.0,20.735,5128.0,0.782,0
Kepler-1042 b,407.0,6.88,5128.0,0.782,0
Kepler-1043 b,297.0,1.8,5132.0,0.77,1
Kepler-1044 b,1547.0,286.632488,6371.0,1.072,0
Kepler-1045 b,866.0,132.98,5401.0,0.777,0
Kepler-1046 b,901.0,155.95,5700.0,1.006,0
Kepler-1047 b,1448.0,612.3,5726.0,0.979,0
Kepler-1047 c,986.0,223.8,4803.0,0.698,0
Kepler-1048 b,492.0,13.8,5852.0,0.837,0
Kepler-1049 b,733.0,68.28,5009.0,0.84,0
Kepler-105 b,1086.0,57.1,4970.0,1.806,0
Kepler-105 c,744.0,72.16,5008.0,0.788,0
Kepler-1050 b,999.0,235.89,6046.0,1.007,0
Kepler-1050 c,1142.0,431.256,6004.0,1.12,0
Kepler-1051 b,930.0,189.965,6004.0,1.12,0
Kepler-1052 b,810.0,109.091,6004.0,1.12,0
Kepler-1052 c,691.0,57.941,6004.0,1.12,0
Kepler-1053 b,1084.0,341.3,5818.0,1.384,0
Kepler-1054 b,1215.0,198.4,5818.0,1.384,0
Kepler-1055 b,1103.0,349.4,5712.0,1.082,0
Kepler-1056 b,798.0,95.61,4805.0,0.688,0
Kepler-1057 b,676.0,49.3,5251.0,0.778,0
Kepler-1058 b,683.0,51.32,5942.0,0.938,0
Kepler-1059 b,655.0,44.549,5574.0,0.94,0
Kepler-106 b,465.0,11.354,5574.0,0.94,0
Kepler-106 c,1562.0,282.87480800000003,5636.0,0.93,0
Kepler-106 d,564.0,23.95,5819.0,0.99,0
Kepler-106 e,390.0,5.45,5874.0,0.2909,0
Kepler-1060 b,1282.0,638.38,6202.0,1.122,0
Kepler-1061 b,807.0,100.13,5135.0,0.874,0
Kepler-1062 b,675.0,48.82,3638.0,0.42,0
Kepler-1063 b,1129.0,382.68,5370.0,0.966,0
Kepler-1064 b,579.0,26.62,5549.0,0.732,0
Kepler-1065 b,997.0,233.38,4769.0,0.714,0
Kepler-1065 c,860.0,129.44,4769.0,0.714,0
Kepler-1066 b,744.0,72.38,4769.0,0.714,0
Kepler-1067 b,643.0,40.33,4769.0,0.714,0
Kepler-1067 c,1105.0,351.79,6033.0,1.788,0
Kepler-1068 b,904.0,157.97,6032.0,1.06,0
Kepler-1069 b,595.0,31.679,5644.0,0.967,0
Kepler-107 b,420.0,7.885,5644.0,0.967,0
Kepler-107 c,1554.0,338.891912,5751.0,1.071,0
Kepler-107 d,1170.0,442.08,5751.0,1.071,0
Kepler-107 e,760.0,78.79,5478.0,1.053,0
Kepler-1070 b,634.0,38.27,5478.0,1.053,0
Kepler-1071 b,637.0,38.99,5383.0,0.842,0
Kepler-1072 b,903.0,157.45,5159.0,0.9323340000000002,0
Kepler-1073 b,1032.0,268.27,5495.0,0.961,0
Kepler-1073 c,375.0,4.66,5029.0,0.93,0
Kepler-1073 d,392.0,5.61,4580.0,0.675,0
Kepler-1074 b,276.0,1.38,4580.0,0.675,1
